Time,Open,High,Low,Close,Volume
2025-05-24 16:00:00,1.0155,1.0248,0.9978,1.0196,5204310.0
2025-05-24 17:00:00,1.0194,1.0293,1.0013,1.0017,4108604.0
2025-05-24 18:00:00,1.0015,1.0121,0.9671,0.9766,8042828.0
2025-05-24 19:00:00,0.9764,0.994,0.9748,0.9809,4658662.0
2025-05-24 20:00:00,0.9809,0.9896,0.9713,0.9741,3420348.0
2025-05-24 21:00:00,0.9741,0.9866,0.97,0.9841,2639662.0
2025-05-24 22:00:00,0.9839,0.9952,0.9783,0.9891,3048198.0
2025-05-24 23:00:00,0.9892,0.9917,0.9805,0.9898,2746352.0
2025-05-25 00:00:00,0.9898,1.0015,0.9732,0.9792,4326221.0
2025-05-25 01:00:00,0.9791,1.0124,0.9731,1.0103,5448219.0
2025-05-25 02:00:00,1.0103,1.017,0.9896,1.0093,4812123.0
2025-05-25 03:00:00,1.0093,1.02,1.0073,1.0116,3886186.0
2025-05-25 04:00:00,1.0118,1.0143,0.9964,1.0011,2815270.0
2025-05-25 05:00:00,1.001,1.0205,0.9977,1.012,3907023.0
2025-05-25 06:00:00,1.0119,1.0157,0.9967,0.999,3197477.0
2025-05-25 07:00:00,0.9991,0.9995,0.9801,0.9843,3666427.0
2025-05-25 08:00:00,0.9844,0.9849,0.9444,0.9482,7434467.0
2025-05-25 09:00:00,0.9485,0.9722,0.9436,0.9674,5589767.0
2025-05-25 10:00:00,0.9675,0.9709,0.9565,0.9595,2515977.0
2025-05-25 11:00:00,0.9595,0.9708,0.9527,0.9571,2149142.0
2025-05-25 12:00:00,0.9575,0.9643,0.95,0.9586,3178118.0
2025-05-25 13:00:00,0.9584,0.9614,0.9485,0.9499,3055507.0
2025-05-25 14:00:00,0.95,0.9508,0.9258,0.9346,7632871.0
2025-05-25 15:00:00,0.9345,0.9429,0.922,0.9417,4683113.0
2025-05-25 16:00:00,0.9419,0.9449,0.9291,0.9427,2307028.0
2025-05-25 17:00:00,0.9426,0.9567,0.942,0.9507,3091012.0
2025-05-25 18:00:00,0.9508,0.9563,0.9451,0.9556,2160316.0
2025-05-25 19:00:00,0.9555,0.9617,0.9508,0.9563,1768856.0
2025-05-25 20:00:00,0.9564,0.9605,0.9489,0.9538,1470812.0
2025-05-25 21:00:00,0.9538,0.9552,0.9444,0.9472,1309616.0
2025-05-25 22:00:00,0.9472,0.9855,0.946,0.9837,4881995.0
2025-05-25 23:00:00,0.9837,1.0073,0.9803,0.9964,3992787.0
2025-05-26 00:00:00,0.9965,1.0138,0.9849,1.0135,5850855.0
2025-05-26 01:00:00,1.0134,1.0176,0.9928,1.005,3200349.0
2025-05-26 02:00:00,1.0049,1.035,0.9973,1.0313,5235432.0
2025-05-26 03:00:00,1.0314,1.1023,1.0204,1.0971,8366206.0
2025-05-26 04:00:00,1.0971,1.0997,1.0447,1.0574,7401782.0
2025-05-26 05:00:00,1.0573,1.0573,1.0167,1.0226,6335044.0
2025-05-26 06:00:00,1.0227,1.045,1.0125,1.0393,5639358.0
2025-05-26 07:00:00,1.0392,1.0442,1.0169,1.0256,3922055.0
2025-05-26 08:00:00,1.0256,1.0292,0.9913,0.9987,5897254.0
2025-05-26 09:00:00,0.9987,0.9999,0.9752,0.9846,6191890.0
2025-05-26 10:00:00,0.9846,0.9958,0.9801,0.9825,2837256.0
2025-05-26 11:00:00,0.9825,0.9875,0.9718,0.98,2831954.0
2025-05-26 12:00:00,0.9799,0.9825,0.9651,0.9747,4661065.0
2025-05-26 13:00:00,0.9747,0.9786,0.9569,0.9611,4558716.0
2025-05-26 14:00:00,0.9611,0.9662,0.9506,0.9551,4007473.0
2025-05-26 15:00:00,0.9552,0.9708,0.9448,0.9628,6502707.0
2025-05-26 16:00:00,0.9628,0.9687,0.9455,0.9519,4448299.0
2025-05-26 17:00:00,0.9518,0.9533,0.9282,0.9354,4851278.0
2025-05-26 18:00:00,0.9354,0.9419,0.9295,0.9409,2329713.0
2025-05-26 19:00:00,0.9409,0.9414,0.9226,0.9254,3669059.0
2025-05-26 20:00:00,0.9252,0.9337,0.9136,0.9288,3400350.0
2025-05-26 21:00:00,0.9287,0.9362,0.9201,0.9246,1971587.0
2025-05-26 22:00:00,0.9247,0.94,0.9206,0.9225,2293782.0
2025-05-26 23:00:00,0.9223,0.9312,0.9195,0.9301,1738789.0
2025-05-27 00:00:00,0.9301,0.9362,0.9093,0.9128,4121314.0
2025-05-27 01:00:00,0.913,0.9134,0.8958,0.8996,6836076.0
2025-05-27 02:00:00,0.8996,0.9079,0.8958,0.8983,2675656.0
2025-05-27 03:00:00,0.8982,0.919,0.8975,0.9064,4733842.0
2025-05-27 04:00:00,0.9065,0.9164,0.8992,0.9075,3690891.0
2025-05-27 05:00:00,0.9075,0.9267,0.9048,0.9231,4074857.0
2025-05-27 06:00:00,0.9231,0.9366,0.919,0.9213,5354580.0
2025-05-27 07:00:00,0.9214,0.9413,0.921,0.9383,3502155.0
2025-05-27 08:00:00,0.9384,0.9543,0.9357,0.9458,5972742.0
2025-05-27 09:00:00,0.946,0.9464,0.9306,0.9453,3487749.0
2025-05-27 10:00:00,0.9454,0.9531,0.9396,0.9487,3156562.0
2025-05-27 11:00:00,0.9484,0.9594,0.9402,0.9589,3396546.0
2025-05-27 12:00:00,0.9593,0.9705,0.9572,0.9637,4684079.0
2025-05-27 13:00:00,0.9637,0.976,0.9436,0.9459,7667564.0
2025-05-27 14:00:00,0.9456,0.9534,0.925,0.9342,7101127.0
2025-05-27 15:00:00,0.9347,0.9347,0.9124,0.9268,6546031.0
2025-05-27 16:00:00,0.9269,0.927,0.8905,0.9106,9074795.0
2025-05-27 17:00:00,0.9107,0.9239,0.8997,0.909,5450574.0
2025-05-27 18:00:00,0.9092,0.9168,0.9001,0.9066,3704330.0
2025-05-27 19:00:00,0.9064,0.9066,0.8972,0.8998,3013271.0
2025-05-27 20:00:00,0.8998,0.9082,0.8967,0.9073,2899299.0
2025-05-27 21:00:00,0.9071,0.9114,0.8964,0.9059,2517780.0
2025-05-27 22:00:00,0.906,0.9119,0.8951,0.9065,3345358.0
2025-05-27 23:00:00,0.9063,0.9185,0.9051,0.9167,3026051.0
2025-05-28 00:00:00,0.9168,0.9217,0.8997,0.9201,3760717.0
2025-05-28 01:00:00,0.9202,0.926,0.9061,0.9133,2979507.0
2025-05-28 02:00:00,0.9131,0.9209,0.9111,0.9146,2316374.0
2025-05-28 03:00:00,0.9149,0.9194,0.8958,0.8958,3805423.0
2025-05-28 04:00:00,0.8959,0.908,0.895,0.8996,2523392.0
2025-05-28 05:00:00,0.8996,0.92,0.8942,0.9145,3776731.0
2025-05-28 06:00:00,0.9147,0.9167,0.9016,0.9066,2770149.0
2025-05-28 07:00:00,0.9069,0.912,0.8962,0.8985,2564171.0
2025-05-28 08:00:00,0.8984,0.9052,0.8953,0.9043,2246721.0
2025-05-28 09:00:00,0.9044,0.9061,0.8783,0.8804,8277807.0
2025-05-28 10:00:00,0.8804,0.8976,0.8711,0.8966,6553684.0
2025-05-28 11:00:00,0.8965,0.9015,0.8875,0.8995,3505660.0
2025-05-28 12:00:00,0.8995,0.9137,0.896,0.9006,4085896.0
2025-05-28 13:00:00,0.9007,0.901,0.8755,0.8831,4908292.0
2025-05-28 14:00:00,0.8832,0.8848,0.858,0.8608,6794093.0
2025-05-28 15:00:00,0.8608,0.8786,0.8444,0.8708,7885756.0
2025-05-28 16:00:00,0.8709,0.8767,0.8617,0.8684,2260102.0
2025-05-28 17:00:00,0.8683,0.8774,0.8672,0.876,1911968.0
2025-05-28 18:00:00,0.8761,0.881,0.8637,0.8639,2129129.0
2025-05-28 19:00:00,0.864,0.8665,0.8456,0.8488,3757644.0
2025-05-28 20:00:00,0.8489,0.852,0.8419,0.8463,2625901.0
2025-05-28 21:00:00,0.8465,0.856,0.8455,0.8543,1477183.0
2025-05-28 22:00:00,0.8543,0.8578,0.8471,0.8558,1457415.0
2025-05-28 23:00:00,0.8559,0.873,0.8553,0.8702,2372327.0
2025-05-29 00:00:00,0.8702,0.8887,0.8659,0.8871,4457193.0
